cue,switch_bfstm,vita_dpk_index,orig_candidate,switch_dur,vita_dur,similarity,dur_ratio,verdict
02_01_N,02_01_N.dspadpcm.bfstm,0,1,0.569,0.576,0.958,0.988,confirmed
02_02_N,02_02_N.dspadpcm.bfstm,1,3,1.044,0.576,0.748,0.552,confirmed
02_03_E,02_03_E.dspadpcm.bfstm,4,4,22.2,22.101,0.701,0.996,confirmed
02_03_N,02_03_N.dspadpcm.bfstm,5,5,22.2,22.101,0.825,0.996,confirmed
02_04_N,02_04_N.dspadpcm.bfstm,7,7,2.026,2.048,0.678,0.989,confirmed
02_05_N,02_05_N.dspadpcm.bfstm,9,9,2.923,2.837,0.831,0.971,confirmed
02_06_E,02_06_E.dspadpcm.bfstm,10,10,1.211,1.472,0.603,0.823,confirmed
02_06_N,02_06_N.dspadpcm.bfstm,11,11,1.211,1.472,0.603,0.823,confirmed
02_07_N,02_07_N.dspadpcm.bfstm,12,13,1.76,1.856,0.612,0.948,confirmed
02_08_N,02_08_N.dspadpcm.bfstm,15,15,2.082,2.24,0.605,0.929,confirmed
03_01_E,03_01_E.dspadpcm.bfstm,16,16,3.989,3.669,0.782,0.92,confirmed
03_02_E,03_02_E.dspadpcm.bfstm,18,18,2.375,2.24,0.655,0.943,confirmed
03_03_E,03_03_E.dspadpcm.bfstm,20,20,2.074,1.963,0.783,0.946,confirmed
03_04_E,03_04_E.dspadpcm.bfstm,22,22,1.054,1.067,,0.988,no-speech-durmatch
03_05_E,03_05_E.dspadpcm.bfstm,24,24,3.75,3.477,,0.927,no-speech-durmatch
03_06_E,03_06_E.dspadpcm.bfstm,27,26,4.359,2.645,0.59,0.607,confirmed
03_07_E,03_07_E.dspadpcm.bfstm,28,28,1.422,1.707,0.561,0.833,confirmed
03_08_E,03_08_E.dspadpcm.bfstm,30,30,5.79,5.419,0.642,0.936,confirmed
03_09_E,03_09_E.dspadpcm.bfstm,32,32,2.478,3.008,0.58,0.824,confirmed
03_10_E,03_10_E.dspadpcm.bfstm,34,34,5.002,5.205,0.55,0.961,confirmed
03_11_N,03_11_N.dspadpcm.bfstm,37,37,3.118,2.923,0.705,0.937,confirmed
03_12_N,03_12_N.dspadpcm.bfstm,38,39,1.635,1.536,0.748,0.939,confirmed
03_13_N,03_13_N.dspadpcm.bfstm,41,41,1.279,1.28,0.712,0.999,confirmed
03_14_N,03_14_N.dspadpcm.bfstm,42,43,4.592,4.096,0.701,0.892,confirmed
03_15_N,03_15_N.dspadpcm.bfstm,45,45,2.133,1.579,0.845,0.74,confirmed
03_16_N,03_16_N.dspadpcm.bfstm,47,47,1.543,1.259,0.779,0.816,confirmed
04_02_E,04_02_E.dspadpcm.bfstm,53,52,5.036,5.013,0.745,0.995,confirmed
04_03_E,04_03_E.dspadpcm.bfstm,54,54,10.837,9.92,0.734,0.915,confirmed
04_04_E,04_04_E.dspadpcm.bfstm,56,56,4.246,4.267,0.675,0.995,confirmed
04_05_E,04_05_E.dspadpcm.bfstm,58,58,2.531,1.941,0.677,0.767,confirmed
04_06_E,04_06_E.dspadpcm.bfstm,59,60,2.018,1.941,,0.962,no-speech-durmatch
04_07_E,04_07_E.dspadpcm.bfstm,64,62,2.234,2.261,,0.988,no-speech-durmatch
04_08_E,04_08_E.dspadpcm.bfstm,65,64,2.291,2.261,0.446,0.987,low-confidence
04_09_E,04_09_E.dspadpcm.bfstm,66,66,3.929,3.776,,0.961,no-speech-durmatch
04_10_E,04_10_E.dspadpcm.bfstm,68,68,7.025,7.531,0.723,0.933,confirmed
04_11_E,04_11_E.dspadpcm.bfstm,70,70,3.602,3.904,,0.923,no-speech-durmatch
05_02_E,05_02_E.dspadpcm.bfstm,74,76,2.427,2.261,,0.932,no-speech-durmatch
05_02_N,05_02_N.dspadpcm.bfstm,76,77,2.427,2.005,0.403,0.826,low-confidence
05_03_E,05_03_E.dspadpcm.bfstm,78,78,4.277,3.285,0.699,0.768,confirmed
05_03_N,05_03_N.dspadpcm.bfstm,79,79,4.277,3.285,0.83,0.768,confirmed
05_04_E,05_04_E.dspadpcm.bfstm,80,80,1.968,1.387,,0.705,no-speech-nomatch
05_04_N,05_04_N.dspadpcm.bfstm,81,81,1.968,1.323,0.776,0.672,confirmed
05_08_N,05_08_N.dspadpcm.bfstm,88,89,3.8,3.499,0.866,0.921,confirmed
05_09_N,05_09_N.dspadpcm.bfstm,91,91,1.613,1.664,0.732,0.969,confirmed
05_10_N,05_10_N.dspadpcm.bfstm,98,93,2.287,3.2,0.45,0.715,confirmed
05_14_N,05_14_N.dspadpcm.bfstm,101,101,1.427,1.835,0.755,0.778,confirmed
05_15_E,05_15_E.dspadpcm.bfstm,103,102,4.066,1.771,0.496,0.436,no-match
05_16_N,05_16_N.dspadpcm.bfstm,104,105,2.538,2.581,0.641,0.983,confirmed
05_17_N,05_17_N.dspadpcm.bfstm,107,107,2.299,2.539,0.706,0.905,confirmed
05_18_N,05_18_N.dspadpcm.bfstm,110,109,1.509,2.859,0.676,0.528,confirmed
06_01_1_N,06_01_1_N.dspadpcm.bfstm,111,111,1.384,1.408,0.541,0.983,confirmed
06_01_E,06_01_E.dspadpcm.bfstm,112,114,3.88,2.475,0.493,0.638,confirmed
06_01_N,06_01_N.dspadpcm.bfstm,115,115,2.652,2.667,0.739,0.994,confirmed
06_02_E,06_02_E.dspadpcm.bfstm,116,116,5.887,6.208,0.631,0.948,confirmed
06_05_E,06_05_E.dspadpcm.bfstm,122,122,8.3,8.277,0.839,0.997,confirmed
06_06_E,06_06_E.dspadpcm.bfstm,125,124,4.393,4.544,,0.967,no-speech-durmatch
06_07_E,06_07_E.dspadpcm.bfstm,126,126,5.4,5.909,0.316,0.914,low-confidence
06_08_E,06_08_E.dspadpcm.bfstm,129,128,0.844,1.024,,0.824,no-speech-durmatch
06_09_E,06_09_E.dspadpcm.bfstm,131,130,4.914,5.419,0.85,0.907,confirmed
06_10_E,06_10_E.dspadpcm.bfstm,132,132,0.836,0.896,,0.933,no-speech-durmatch
06_10_N,06_10_N.dspadpcm.bfstm,133,133,0.836,0.896,0.784,0.933,confirmed
06_11_E,06_11_E.dspadpcm.bfstm,136,134,0.68,2.88,0.412,0.236,no-match
06_12_E,06_12_E.dspadpcm.bfstm,137,136,2.87,2.88,0.767,0.997,confirmed
07_01_N,07_01_N.dspadpcm.bfstm,139,139,19.071,19.947,0.828,0.956,confirmed
07_02_E,07_02_E.dspadpcm.bfstm,140,140,3.952,4.309,0.725,0.917,confirmed
07_03_E,07_03_E.dspadpcm.bfstm,142,142,6.436,6.379,0.831,0.991,confirmed
07_04_E,07_04_E.dspadpcm.bfstm,145,144,5.9,6.144,0.691,0.96,confirmed
07_05_E,07_05_E.dspadpcm.bfstm,146,146,3.573,4.117,0.53,0.868,confirmed
07_06_1_E,07_06_1_E.dspadpcm.bfstm,147,148,1.312,4.117,0.403,0.319,no-match
07_06_1_N,07_06_1_N.dspadpcm.bfstm,149,149,1.312,1.323,0.634,0.992,confirmed
07_06_2_E,07_06_2_E.dspadpcm.bfstm,150,150,2.179,2.197,,0.992,no-speech-durmatch
07_06_2_N,07_06_2_N.dspadpcm.bfstm,151,151,2.179,2.197,0.958,0.992,confirmed
07_06_E,07_06_E.dspadpcm.bfstm,154,152,4.09,4.203,0.34,0.973,low-confidence
08_02_E,08_02_E.dspadpcm.bfstm,163,162,2.403,2.752,0.588,0.873,confirmed
08_03_N,08_03_N.dspadpcm.bfstm,164,165,4.784,4.971,0.62,0.962,confirmed
08_04_N,08_04_N.dspadpcm.bfstm,166,167,1.132,1.152,0.841,0.983,confirmed
08_05_1_E,08_05_1_E.dspadpcm.bfstm,168,168,0.607,0.619,,0.981,no-speech-durmatch
08_05_1_N,08_05_1_N.dspadpcm.bfstm,169,169,0.607,0.619,,0.981,no-speech-durmatch
08_05_2_E,08_05_2_E.dspadpcm.bfstm,170,170,1.377,1.387,,0.993,no-speech-durmatch
08_05_2_N,08_05_2_N.dspadpcm.bfstm,171,171,1.377,1.387,,0.993,no-speech-durmatch
09_01_N,09_01_N.dspadpcm.bfstm,177,177,22.937,22.144,0.762,0.965,confirmed
09_02_N,09_02_N.dspadpcm.bfstm,178,179,30.469,26.837,0.651,0.881,confirmed
10_01_E,10_01_E.dspadpcm.bfstm,183,182,4.912,5.056,0.612,0.972,confirmed
10_02_E,10_02_E.dspadpcm.bfstm,184,184,7.224,8.064,0.69,0.896,confirmed
10_03_E,10_03_E.dspadpcm.bfstm,186,186,11.319,11.797,0.706,0.959,confirmed
10_04_E,10_04_E.dspadpcm.bfstm,188,188,12.688,12.949,0.564,0.98,confirmed
10_05_N,10_05_N.dspadpcm.bfstm,191,191,1.04,1.045,0.519,0.995,confirmed
10_06_N,10_06_N.dspadpcm.bfstm,192,193,0.899,1.152,0.632,0.78,confirmed
10_07_N,10_07_N.dspadpcm.bfstm,194,195,1.649,1.685,0.819,0.979,confirmed
11_01_E,11_01_E.dspadpcm.bfstm,196,196,6.985,8.0,0.71,0.873,confirmed
11_02_E,11_02_E.dspadpcm.bfstm,198,198,1.753,1.835,0.849,0.955,confirmed
11_03_E,11_03_E.dspadpcm.bfstm,200,200,2.816,2.709,0.717,0.962,confirmed
11_04_E,11_04_E.dspadpcm.bfstm,202,202,5.244,5.035,0.898,0.96,confirmed
11_06_E,11_06_E.dspadpcm.bfstm,206,206,3.254,3.413,0.576,0.953,confirmed
11_07_E,11_07_E.dspadpcm.bfstm,209,208,3.242,3.712,0.816,0.873,confirmed
11_08_E,11_08_E.dspadpcm.bfstm,210,210,3.57,3.776,0.844,0.945,confirmed
11_09_N,11_09_N.dspadpcm.bfstm,213,213,3.007,3.221,0.889,0.934,confirmed
11_10_N,11_10_N.dspadpcm.bfstm,214,215,3.175,2.603,0.792,0.82,confirmed
11_11_N,11_11_N.dspadpcm.bfstm,216,217,3.24,2.24,0.83,0.691,confirmed
12_01_E,12_01_E.dspadpcm.bfstm,218,218,3.424,3.797,0.71,0.902,confirmed
12_03_E,12_03_E.dspadpcm.bfstm,222,222,4.886,4.587,0.695,0.939,confirmed
12_04_E,12_04_E.dspadpcm.bfstm,224,224,5.146,5.397,0.737,0.953,confirmed
12_05_E,12_05_E.dspadpcm.bfstm,226,226,1.796,1.771,0.566,0.986,confirmed
12_06_E,12_06_E.dspadpcm.bfstm,228,228,4.075,4.203,0.744,0.97,confirmed
12_07_E,12_07_E.dspadpcm.bfstm,230,230,2.037,1.984,0.5,0.974,confirmed
12_08_E,12_08_E.dspadpcm.bfstm,234,232,3.707,3.477,0.799,0.938,confirmed
12_10_E,12_10_E.dspadpcm.bfstm,237,236,3.723,3.84,0.726,0.97,confirmed
12_11_E,12_11_E.dspadpcm.bfstm,238,238,6.674,6.528,0.879,0.978,confirmed
12_12_E,12_12_E.dspadpcm.bfstm,240,240,3.027,3.435,0.733,0.881,confirmed
12_13_E,12_13_E.dspadpcm.bfstm,242,242,2.475,2.837,0.81,0.872,confirmed
12_14_E,12_14_E.dspadpcm.bfstm,245,244,2.024,2.603,0.734,0.778,confirmed
12_15_E,12_15_E.dspadpcm.bfstm,246,246,1.744,1.899,0.731,0.918,confirmed
13_01_E,13_01_E.dspadpcm.bfstm,250,248,2.188,2.88,0.631,0.76,confirmed
13_02_E,13_02_E.dspadpcm.bfstm,251,250,2.65,2.88,0.605,0.92,confirmed
13_04_E,13_04_E.dspadpcm.bfstm,254,254,6.782,6.677,0.631,0.985,confirmed
13_06_E,13_06_E.dspadpcm.bfstm,258,258,1.989,2.283,0.677,0.871,confirmed
13_07_E,13_07_E.dspadpcm.bfstm,259,260,2.073,2.283,0.518,0.908,confirmed
13_08_E,13_08_E.dspadpcm.bfstm,262,262,2.811,2.859,0.714,0.983,confirmed
13_09_E,13_09_E.dspadpcm.bfstm,264,264,1.345,1.707,0.86,0.788,confirmed
13_10_E,13_10_E.dspadpcm.bfstm,267,266,2.948,3.584,0.673,0.823,confirmed
13_11_E,13_11_E.dspadpcm.bfstm,269,268,1.234,1.173,0.516,0.951,confirmed
13_12_N,13_12_N.dspadpcm.bfstm,271,271,2.072,1.771,0.578,0.855,confirmed
14_01_E,14_01_E.dspadpcm.bfstm,272,272,1.856,2.475,0.588,0.75,confirmed
14_02_E,14_02_E.dspadpcm.bfstm,274,274,2.87,2.837,0.454,0.989,confirmed
14_03_E,14_03_E.dspadpcm.bfstm,276,276,3.659,3.029,0.536,0.828,confirmed
14_04_E,14_04_E.dspadpcm.bfstm,279,278,0.471,0.555,0.792,0.849,confirmed
14_05_E,14_05_E.dspadpcm.bfstm,280,280,6.644,6.955,0.767,0.955,confirmed
14_06_N,14_06_N.dspadpcm.bfstm,283,283,3.104,2.837,0.794,0.914,confirmed
14_07_E,14_07_E.dspadpcm.bfstm,284,284,4.474,4.608,0.627,0.971,confirmed
14_08_E,14_08_E.dspadpcm.bfstm,286,286,3.532,3.755,0.467,0.941,confirmed
14_09_E,14_09_E.dspadpcm.bfstm,289,288,2.768,2.901,0.557,0.954,confirmed
14_10_E,14_10_E.dspadpcm.bfstm,290,290,5.157,5.056,0.736,0.98,confirmed
14_12_E,14_12_E.dspadpcm.bfstm,295,294,1.762,1.963,0.697,0.898,confirmed
14_13_E,14_13_E.dspadpcm.bfstm,296,296,3.451,3.52,0.813,0.98,confirmed
15_01_N,15_01_N.dspadpcm.bfstm,298,299,8.879,9.045,0.855,0.982,confirmed
15_02_N,15_02_N.dspadpcm.bfstm,301,301,6.63,7.189,0.746,0.922,confirmed
15_03_N,15_03_N.dspadpcm.bfstm,302,303,4.48,4.779,0.762,0.937,confirmed
15_05_E,15_05_E.dspadpcm.bfstm,306,306,3.301,3.435,0.677,0.961,confirmed
15_06_E,15_06_E.dspadpcm.bfstm,308,308,2.514,2.859,0.778,0.879,confirmed
15_07_E,15_07_E.dspadpcm.bfstm,310,310,2.959,3.477,0.856,0.851,confirmed
15_10_E,15_10_E.dspadpcm.bfstm,316,316,4.078,3.968,0.707,0.973,confirmed
15_11_E,15_11_E.dspadpcm.bfstm,319,318,3.872,4.267,0.636,0.907,confirmed
15_12_E,15_12_E.dspadpcm.bfstm,321,320,4.479,4.523,0.648,0.99,confirmed
15_13_E,15_13_E.dspadpcm.bfstm,322,322,4.601,5.184,0.854,0.888,confirmed
15_15_E,15_15_E.dspadpcm.bfstm,327,326,4.385,3.947,0.651,0.9,confirmed
16_01_E,16_01_E.dspadpcm.bfstm,328,328,3.43,3.371,0.507,0.983,confirmed
16_02_E,16_02_E.dspadpcm.bfstm,331,330,2.29,2.645,0.56,0.866,confirmed
16_03_E,16_03_E.dspadpcm.bfstm,332,332,6.419,5.931,0.85,0.924,confirmed
16_04_N,16_04_N.dspadpcm.bfstm,334,335,5.209,5.867,0.858,0.888,confirmed
16_05_N,16_05_N.dspadpcm.bfstm,336,337,12.194,9.323,0.846,0.765,confirmed
17_04_E,17_04_E.dspadpcm.bfstm,346,346,9.59,9.557,0.796,0.997,confirmed
17_08_E,17_08_E.dspadpcm.bfstm,356,354,2.813,3.477,0.595,0.809,confirmed
17_09_E,17_09_E.dspadpcm.bfstm,357,356,3.472,3.477,0.727,0.999,confirmed
17_09_N,17_09_N.dspadpcm.bfstm,358,357,3.472,3.968,0.773,0.875,confirmed
17_11_E,17_11_E.dspadpcm.bfstm,359,360,4.379,3.968,0.761,0.906,confirmed
17_11_N,17_11_N.dspadpcm.bfstm,360,361,4.379,4.395,0.73,0.996,confirmed
17_12_E,17_12_E.dspadpcm.bfstm,361,362,4.455,4.395,0.654,0.987,confirmed
18_01_E,18_01_E.dspadpcm.bfstm,366,366,5.771,5.824,0.631,0.991,confirmed
18_02_E,18_02_E.dspadpcm.bfstm,369,368,1.598,1.771,0.572,0.902,confirmed
18_03_E,18_03_E.dspadpcm.bfstm,370,370,1.691,1.941,0.748,0.871,confirmed
18_04_E,18_04_E.dspadpcm.bfstm,372,372,3.896,4.224,0.663,0.922,confirmed
18_05_E,18_05_E.dspadpcm.bfstm,376,374,3.139,2.389,0.651,0.761,confirmed
18_06_E,18_06_E.dspadpcm.bfstm,377,376,2.099,2.389,,0.879,no-speech-durmatch
18_07_E,18_07_E.dspadpcm.bfstm,379,378,4.739,5.376,0.603,0.882,confirmed
18_08_E,18_08_E.dspadpcm.bfstm,380,380,2.311,2.432,0.88,0.95,confirmed
18_09_E,18_09_E.dspadpcm.bfstm,383,382,3.986,4.245,0.581,0.939,confirmed
18_10_E,18_10_E.dspadpcm.bfstm,384,384,3.703,3.733,,0.992,no-speech-durmatch
18_11_E,18_11_E.dspadpcm.bfstm,386,386,4.029,3.947,,0.98,no-speech-durmatch
18_12_N,18_12_N.dspadpcm.bfstm,389,389,5.615,4.949,0.555,0.881,confirmed
18_15_E,18_15_E.dspadpcm.bfstm,394,394,9.068,9.387,0.787,0.966,confirmed
18_17_E,18_17_E.dspadpcm.bfstm,398,398,5.761,6.101,0.682,0.944,confirmed
19_03_N,19_03_N.dspadpcm.bfstm,405,405,11.168,10.496,0.719,0.94,confirmed
19_06_E,19_06_E.dspadpcm.bfstm,410,410,4.446,4.672,0.787,0.952,confirmed
19_07_E,19_07_E.dspadpcm.bfstm,413,412,2.544,2.752,0.688,0.924,confirmed
19_08_E,19_08_E.dspadpcm.bfstm,414,414,2.874,3.051,0.606,0.942,confirmed
19_09_E,19_09_E.dspadpcm.bfstm,417,416,4.58,3.584,0.537,0.783,confirmed
19_10_E,19_10_E.dspadpcm.bfstm,418,418,0.728,0.939,,0.775,no-speech-nomatch
19_11_N,19_11_N.dspadpcm.bfstm,421,421,2.987,2.347,0.751,0.786,confirmed
20_01_E,20_01_E.dspadpcm.bfstm,425,424,21.499,21.504,0.779,1.0,confirmed
20_02_E,20_02_E.dspadpcm.bfstm,426,426,20.353,20.992,0.904,0.97,confirmed
20_03_N,20_03_N.dspadpcm.bfstm,428,429,11.966,11.392,0.883,0.952,confirmed
20_04_N,20_04_N.dspadpcm.bfstm,430,431,10.495,10.176,0.756,0.97,confirmed
21_01_N,21_01_N.dspadpcm.bfstm,433,433,12.294,11.861,0.65,0.965,confirmed
21_02_E,21_02_E.dspadpcm.bfstm,434,436,6.112,4.651,0.716,0.761,confirmed
21_03_1_E,21_03_1_E.dspadpcm.bfstm,438,438,1.435,1.451,0.665,0.989,confirmed
21_03_1_N,21_03_1_N.dspadpcm.bfstm,439,439,1.435,1.451,0.652,0.989,confirmed
21_03_2_E,21_03_2_E.dspadpcm.bfstm,440,440,2.413,2.432,0.73,0.992,confirmed
21_03_2_N,21_03_2_N.dspadpcm.bfstm,441,441,2.413,2.432,0.748,0.992,confirmed
21_03_3_E,21_03_3_E.dspadpcm.bfstm,442,442,1.226,1.237,0.847,0.991,confirmed
21_03_3_N,21_03_3_N.dspadpcm.bfstm,443,443,1.226,1.237,0.791,0.991,confirmed
21_04_N,21_04_N.dspadpcm.bfstm,447,447,1.422,1.472,0.833,0.966,confirmed
21_05_N,21_05_N.dspadpcm.bfstm,449,449,5.097,4.949,0.793,0.971,confirmed
21_06_N,21_06_N.dspadpcm.bfstm,451,451,2.64,2.347,0.657,0.889,confirmed
21_07_N,21_07_N.dspadpcm.bfstm,453,453,2.86,2.624,0.919,0.917,confirmed
21_08_N,21_08_N.dspadpcm.bfstm,454,455,1.148,1.28,0.774,0.897,confirmed
21_09_N,21_09_N.dspadpcm.bfstm,456,457,0.844,0.853,0.798,0.989,confirmed
21_10_N,21_10_N.dspadpcm.bfstm,458,459,3.578,3.093,0.704,0.864,confirmed
21_11_E,21_11_E.dspadpcm.bfstm,460,460,2.522,2.112,0.688,0.837,confirmed
21_11_N,21_11_N.dspadpcm.bfstm,461,461,2.522,2.112,0.77,0.837,confirmed
21_12_N,21_12_N.dspadpcm.bfstm,463,463,1.059,1.131,0.534,0.936,confirmed
22_01_N,22_01_N.dspadpcm.bfstm,465,465,0.974,1.216,0.707,0.801,confirmed
22_03_N,22_03_N.dspadpcm.bfstm,468,469,2.373,2.56,0.736,0.927,confirmed
22_04_N,22_04_N.dspadpcm.bfstm,472,471,2.336,3.008,0.416,0.777,low-confidence
22_05_N,22_05_N.dspadpcm.bfstm,473,473,4.135,3.008,0.49,0.727,confirmed
22_06_E,22_06_E.dspadpcm.bfstm,475,474,6.94,6.976,0.702,0.995,confirmed
22_09_E,22_09_E.dspadpcm.bfstm,481,480,10.34,7.915,0.748,0.765,confirmed
22_10_E,22_10_E.dspadpcm.bfstm,482,482,6.756,6.784,0.733,0.996,confirmed
22_11_1_E,22_11_1_E.dspadpcm.bfstm,483,484,6.923,6.763,0.651,0.977,confirmed
22_11_2_E,22_11_2_E.dspadpcm.bfstm,486,486,1.413,1.429,,0.989,no-speech-durmatch
22_11_E,22_11_E.dspadpcm.bfstm,488,488,8.665,8.683,0.814,0.998,confirmed
22_11_N,22_11_N.dspadpcm.bfstm,489,489,8.665,8.683,0.904,0.998,confirmed
22_12_E,22_12_E.dspadpcm.bfstm,490,490,4.785,4.715,0.814,0.985,confirmed
22_14_E,22_14_E.dspadpcm.bfstm,494,494,0.848,1.195,,0.71,no-speech-nomatch
22_15_1_E,22_15_1_E.dspadpcm.bfstm,495,496,1.534,1.195,,0.779,no-speech-nomatch
22_15_1_N,22_15_1_N.dspadpcm.bfstm,496,497,1.534,1.557,,0.985,no-speech-durmatch
22_15_2_E,22_15_2_E.dspadpcm.bfstm,497,498,1.742,1.557,0.557,0.894,confirmed
22_15_2_N,22_15_2_N.dspadpcm.bfstm,498,499,1.742,1.749,,0.996,no-speech-durmatch
22_15_E,22_15_E.dspadpcm.bfstm,500,500,3.465,3.435,,0.991,no-speech-durmatch
23_01_N,23_01_N.dspadpcm.bfstm,502,503,18.697,16.96,0.835,0.907,confirmed
23_02_E,23_02_E.dspadpcm.bfstm,505,504,4.089,3.776,0.683,0.923,confirmed
23_03_E,23_03_E.dspadpcm.bfstm,506,506,3.177,3.328,0.575,0.955,confirmed
23_04_E,23_04_E.dspadpcm.bfstm,508,508,1.169,1.301,,0.899,no-speech-durmatch
23_05_E,23_05_E.dspadpcm.bfstm,510,510,2.421,2.453,,0.987,no-speech-durmatch
23_06_E,23_06_E.dspadpcm.bfstm,512,512,1.323,1.664,,0.795,no-speech-nomatch
23_07_E,23_07_E.dspadpcm.bfstm,514,514,6.91,5.675,0.651,0.821,confirmed
23_08_E,23_08_E.dspadpcm.bfstm,518,516,2.77,2.667,0.49,0.963,confirmed
23_09_E,23_09_E.dspadpcm.bfstm,519,518,3.063,2.667,,0.871,no-speech-durmatch
23_10_E,23_10_E.dspadpcm.bfstm,520,520,2.125,2.027,0.455,0.954,confirmed
23_11_E,23_11_E.dspadpcm.bfstm,523,522,5.7,5.525,0.612,0.969,confirmed
24_01_E,24_01_E.dspadpcm.bfstm,524,524,6.005,6.443,0.804,0.932,confirmed
24_03_N,24_03_N.dspadpcm.bfstm,529,529,1.548,1.557,0.71,0.994,confirmed
24_04_E,24_04_E.dspadpcm.bfstm,532,530,4.63,4.373,0.784,0.944,confirmed
24_05_E,24_05_E.dspadpcm.bfstm,533,532,4.683,4.373,0.827,0.934,confirmed
24_06_E,24_06_E.dspadpcm.bfstm,534,534,5.074,4.885,0.713,0.963,confirmed
24_07_E,24_07_E.dspadpcm.bfstm,536,536,4.277,4.437,0.8,0.964,confirmed
24_08_E,24_08_E.dspadpcm.bfstm,538,538,1.724,1.621,0.697,0.94,confirmed
24_09_E,24_09_E.dspadpcm.bfstm,541,540,1.948,2.261,0.76,0.862,confirmed
24_12_E,24_12_E.dspadpcm.bfstm,547,546,2.289,2.411,0.729,0.949,confirmed
25_08_E,25_08_E.dspadpcm.bfstm,562,562,3.679,3.733,0.608,0.986,confirmed
25_13_E,25_13_E.dspadpcm.bfstm,573,572,3.435,3.648,0.739,0.942,confirmed
26_01_E,26_01_E.dspadpcm.bfstm,575,574,4.613,4.629,0.839,0.997,confirmed
26_02_E,26_02_E.dspadpcm.bfstm,576,576,1.934,2.432,0.642,0.795,confirmed
26_03_N,26_03_N.dspadpcm.bfstm,578,579,3.814,4.309,0.803,0.885,confirmed
26_04_E,26_04_E.dspadpcm.bfstm,580,580,5.253,5.013,0.719,0.954,confirmed
26_04_N,26_04_N.dspadpcm.bfstm,581,581,5.253,4.949,0.749,0.942,confirmed
26_05_E,26_05_E.dspadpcm.bfstm,582,582,2.297,1.984,0.743,0.864,confirmed
26_05_N,26_05_N.dspadpcm.bfstm,583,583,2.297,1.984,0.746,0.864,confirmed
26_06_E,26_06_E.dspadpcm.bfstm,584,584,1.88,2.048,0.902,0.918,confirmed
26_06_N,26_06_N.dspadpcm.bfstm,585,585,1.88,2.048,0.894,0.918,confirmed
26_07_E,26_07_E.dspadpcm.bfstm,586,586,3.299,3.157,0.722,0.957,confirmed
26_07_N,26_07_N.dspadpcm.bfstm,587,587,3.299,3.157,0.774,0.957,confirmed
26_08_E,26_08_E.dspadpcm.bfstm,588,588,4.027,3.947,0.54,0.98,confirmed
26_10_E,26_10_E.dspadpcm.bfstm,592,592,4.161,4.395,0.69,0.947,confirmed
26_11_N,26_11_N.dspadpcm.bfstm,595,595,3.477,2.475,0.528,0.712,confirmed
26_12_N,26_12_N.dspadpcm.bfstm,596,597,1.933,1.771,0.566,0.916,confirmed
26_13_N,26_13_N.dspadpcm.bfstm,598,599,2.723,3.051,0.718,0.892,confirmed
27_01_N,27_01_N.dspadpcm.bfstm,600,601,35.449,32.064,0.819,0.905,confirmed
27_02_N,27_02_N.dspadpcm.bfstm,603,603,2.87,2.155,0.678,0.751,confirmed
27_03_N,27_03_N.dspadpcm.bfstm,605,605,2.232,2.624,0.749,0.851,confirmed
27_04_E,27_04_E.dspadpcm.bfstm,607,606,5.67,6.123,0.505,0.926,confirmed
27_05_1_E,27_05_1_E.dspadpcm.bfstm,608,608,5.206,5.227,0.726,0.996,confirmed
27_05_1_N,27_05_1_N.dspadpcm.bfstm,609,609,5.206,5.227,0.735,0.996,confirmed
27_05_2_E,27_05_2_E.dspadpcm.bfstm,610,610,1.699,1.707,,0.995,no-speech-durmatch
27_05_2_N,27_05_2_N.dspadpcm.bfstm,611,611,1.699,1.707,,0.995,no-speech-durmatch
27_05_E,27_05_E.dspadpcm.bfstm,613,612,7.421,7.595,0.555,0.977,confirmed
27_06_E,27_06_E.dspadpcm.bfstm,614,614,3.282,3.499,,0.938,no-speech-durmatch
27_07_E,27_07_E.dspadpcm.bfstm,616,616,2.866,2.56,,0.893,no-speech-durmatch
27_08_E,27_08_E.dspadpcm.bfstm,617,618,2.527,2.56,0.467,0.987,confirmed
28_01_E,28_01_E.dspadpcm.bfstm,620,620,5.452,5.952,0.75,0.916,confirmed
28_03_E,28_03_E.dspadpcm.bfstm,624,624,3.264,3.52,0.823,0.927,confirmed
28_04_E,28_04_E.dspadpcm.bfstm,626,626,6.462,6.997,0.767,0.924,confirmed
28_05_E,28_05_E.dspadpcm.bfstm,629,628,3.948,3.925,0.677,0.994,confirmed
28_06_E,28_06_E.dspadpcm.bfstm,630,630,3.104,3.285,0.743,0.945,confirmed
28_07_E,28_07_E.dspadpcm.bfstm,632,632,0.933,1.259,0.497,0.741,confirmed
28_08_E,28_08_E.dspadpcm.bfstm,634,634,5.421,5.099,0.548,0.941,confirmed
28_09_E,28_09_E.dspadpcm.bfstm,636,636,23.734,22.869,0.8,0.964,confirmed
29_01_N,29_01_N.dspadpcm.bfstm,639,639,1.649,1.728,0.6,0.954,confirmed
29_02_N,29_02_N.dspadpcm.bfstm,641,641,1.778,2.069,0.471,0.859,confirmed
29_03_N,29_03_N.dspadpcm.bfstm,643,643,5.322,5.781,0.853,0.921,confirmed
29_04_E,29_04_E.dspadpcm.bfstm,645,644,14.283,14.315,0.849,0.998,confirmed
29_05_E,29_05_E.dspadpcm.bfstm,646,646,4.239,4.48,0.728,0.946,confirmed
