cue,switch_bfstm,vita_dpk_index,orig_candidate,switch_dur,vita_dur,similarity,dur_ratio,verdict
OU02SE,OU02SE.dspadpcm.bfstm,6477,6477,1.817,1.28,0.634,0.704,confirmed
OU02SF,OU02SF.dspadpcm.bfstm,6478,6478,1.63,1.515,0.581,0.929,confirmed
OU03SA,OU03SA.dspadpcm.bfstm,6479,6479,1.54,1.813,0.707,0.849,confirmed
OU03SB,OU03SB.dspadpcm.bfstm,6480,6480,1.618,1.728,0.686,0.936,confirmed
OU03SC,OU03SC.dspadpcm.bfstm,6481,6481,1.332,1.323,0.712,0.993,confirmed
OU03SD,OU03SD.dspadpcm.bfstm,6482,6482,1.273,1.963,0.686,0.648,confirmed
OU03SE,OU03SE.dspadpcm.bfstm,6483,6483,1.535,1.877,0.686,0.818,confirmed
OU03SF,OU03SF.dspadpcm.bfstm,6484,6484,1.411,1.429,0.686,0.987,confirmed
X2_01_E,X2_01_E.dspadpcm.bfstm,6485,6485,5.025,4.779,0.758,0.951,confirmed
X2_02_E,X2_02_E.dspadpcm.bfstm,6487,6487,4.711,4.843,0.649,0.973,confirmed
X2_05_E,X2_05_E.dspadpcm.bfstm,6493,6493,3.508,4.011,0.788,0.875,confirmed
X2_08_E,X2_08_E.dspadpcm.bfstm,6499,6499,3.807,3.84,0.659,0.991,confirmed
X2_09_1_E,X2_09_1_E.dspadpcm.bfstm,6501,6501,1.456,1.6,0.805,0.91,confirmed
X2_09_E,X2_09_E.dspadpcm.bfstm,6503,6503,2.6,2.432,0.754,0.935,confirmed
X2_12_E,X2_12_E.dspadpcm.bfstm,6511,6511,3.912,4.245,0.793,0.922,confirmed
X2_14_E,X2_14_E.dspadpcm.bfstm,6515,6515,3.705,3.669,0.804,0.99,confirmed
X2_16_1_E,X2_16_1_E.dspadpcm.bfstm,6519,6519,5.595,5.888,0.631,0.95,confirmed
X2_16_2_E,X2_16_2_E.dspadpcm.bfstm,6522,6521,2.634,2.624,0.445,0.996,low-confidence
X2_16_E,X2_16_E.dspadpcm.bfstm,6523,6523,8.1,8.107,0.848,0.999,confirmed
X2_16_N,X2_16_N.dspadpcm.bfstm,6524,6524,7.769,7.787,0.849,0.998,confirmed
X2_17_1_E,X2_17_1_E.dspadpcm.bfstm,6525,6525,7.5,7.509,0.869,0.999,confirmed
X2_17_1_N,X2_17_1_N.dspadpcm.bfstm,6526,6526,6.94,6.955,0.805,0.998,confirmed
X2_17_2_E,X2_17_2_E.dspadpcm.bfstm,6527,6527,6.3,6.315,,0.998,no-speech-durmatch
X2_17_2_N,X2_17_2_N.dspadpcm.bfstm,6528,6528,5.79,5.803,0.792,0.998,confirmed
X2_17_E,X2_17_E.dspadpcm.bfstm,6530,6529,13.0,12.736,0.721,0.98,confirmed
X2_18_N,X2_18_N.dspadpcm.bfstm,6532,6532,5.076,5.44,0.702,0.933,confirmed
X3_01_E,X3_01_E.dspadpcm.bfstm,6536,6535,3.585,2.837,0.602,0.791,confirmed
X3_02_N,X3_02_N.dspadpcm.bfstm,6538,6538,4.017,3.712,0.823,0.924,confirmed
X3_03_E,X3_03_E.dspadpcm.bfstm,6540,6539,3.613,2.88,0.76,0.797,confirmed
X3_04_E,X3_04_E.dspadpcm.bfstm,6542,6541,3.2,2.88,0.814,0.9,confirmed
X3_05_1_E,X3_05_1_E.dspadpcm.bfstm,6544,6543,6.9,5.611,0.559,0.813,confirmed
X3_05_E,X3_05_E.dspadpcm.bfstm,6547,6547,11.3,11.307,0.729,0.999,confirmed
X3_05_N,X3_05_N.dspadpcm.bfstm,6548,6548,11.051,11.072,0.854,0.998,confirmed
X3_06_N,X3_06_N.dspadpcm.bfstm,6549,6550,7.902,7.019,0.863,0.888,confirmed
X3_07_E,X3_07_E.dspadpcm.bfstm,6552,6551,5.54,5.376,0.834,0.97,confirmed
X3_08_E,X3_08_E.dspadpcm.bfstm,6554,6553,10.524,10.112,0.721,0.961,confirmed
X3_09_E,X3_09_E.dspadpcm.bfstm,6555,6555,3.296,3.52,0.844,0.936,confirmed
X3_10_E,X3_10_E.dspadpcm.bfstm,6557,6557,2.851,3.392,0.773,0.841,confirmed
X3_11_E,X3_11_E.dspadpcm.bfstm,6559,6559,1.822,2.219,0.644,0.821,confirmed
X3_12_1_E,X3_12_1_E.dspadpcm.bfstm,6561,6561,2.416,2.432,0.586,0.993,confirmed
X3_12_1_N,X3_12_1_N.dspadpcm.bfstm,6562,6562,2.416,2.432,0.59,0.993,confirmed
X3_12_2_E,X3_12_2_E.dspadpcm.bfstm,6563,6563,2.355,2.368,,0.995,no-speech-durmatch
X3_12_2_N,X3_12_2_N.dspadpcm.bfstm,6564,6564,2.355,2.368,0.88,0.995,confirmed
X3_12_E,X3_12_E.dspadpcm.bfstm,6565,6565,5.328,5.419,0.654,0.983,confirmed
X3_13_E,X3_13_E.dspadpcm.bfstm,6567,6567,2.229,2.624,0.673,0.849,confirmed
X3_14_E,X3_14_E.dspadpcm.bfstm,6569,6569,2.055,2.432,0.675,0.845,confirmed
X3_16_E,X3_16_E.dspadpcm.bfstm,6573,6573,8.096,8.491,0.758,0.953,confirmed
X4_02_E,X4_02_E.dspadpcm.bfstm,6577,6577,5.446,5.099,0.671,0.936,confirmed
X4_02_N,X4_02_N.dspadpcm.bfstm,6578,6578,5.446,5.099,0.732,0.936,confirmed
X4_04_E,X4_04_E.dspadpcm.bfstm,6583,6585,6.098,3.883,0.787,0.637,confirmed
X4_04_N,X4_04_N.dspadpcm.bfstm,6586,6586,6.098,6.123,0.799,0.996,confirmed
X4_06_E,X4_06_E.dspadpcm.bfstm,6603,6589,2.465,2.304,,0.935,no-speech-durmatch
X5_01_E,X5_01_E.dspadpcm.bfstm,6606,6605,6.522,6.72,0.802,0.971,confirmed
X5_02_E,X5_02_E.dspadpcm.bfstm,6608,6607,7.747,7.765,0.835,0.998,confirmed
X5_03_E,X5_03_E.dspadpcm.bfstm,6609,6609,7.051,7.296,0.784,0.966,confirmed
X5_04_E,X5_04_E.dspadpcm.bfstm,6611,6611,9.741,10.069,0.842,0.967,confirmed
X5_05_E,X5_05_E.dspadpcm.bfstm,6613,6613,10.662,8.64,0.792,0.81,confirmed
X5_06_E,X5_06_E.dspadpcm.bfstm,6616,6615,14.113,14.101,0.77,0.999,confirmed
X5_07_E,X5_07_E.dspadpcm.bfstm,6617,6617,18.728,18.752,0.92,0.999,confirmed
X5_07_N,X5_07_N.dspadpcm.bfstm,6618,6618,18.728,18.752,0.921,0.999,confirmed
X5_08_E,X5_08_E.dspadpcm.bfstm,6619,6619,10.017,7.829,0.885,0.782,confirmed
X5_09_E,X5_09_E.dspadpcm.bfstm,6621,6621,4.053,3.733,0.636,0.921,confirmed
X5_10_E,X5_10_E.dspadpcm.bfstm,6623,6623,13.19,11.861,0.823,0.899,confirmed
X5_11_E,X5_11_E.dspadpcm.bfstm,6625,6625,1.342,1.28,0.603,0.954,confirmed
X5_12_E,X5_12_E.dspadpcm.bfstm,6627,6627,6.847,5.931,0.865,0.866,confirmed
Y2_01_E_A,Y2_01_E_A.dspadpcm.bfstm,6629,6629,1.296,1.6,0.72,0.81,confirmed
Y2_01_E_B,Y2_01_E_B.dspadpcm.bfstm,6630,6630,1.224,1.536,0.742,0.797,confirmed
Y2_01_N_A,Y2_01_N_A.dspadpcm.bfstm,6632,6635,1.296,1.749,0.455,0.741,confirmed
Y2_01_N_B,Y2_01_N_B.dspadpcm.bfstm,6633,6636,1.224,1.664,0.742,0.736,confirmed
Y2_02_E_A,Y2_02_E_A.dspadpcm.bfstm,6635,6641,1.145,1.6,,0.716,no-speech-nomatch
Y2_02_E_B,Y2_02_E_B.dspadpcm.bfstm,6637,6642,1.246,1.643,,0.758,no-speech-nomatch
Y2_02_N_A,Y2_02_N_A.dspadpcm.bfstm,6641,6647,1.145,1.557,,0.735,no-speech-nomatch
Y2_02_N_B,Y2_02_N_B.dspadpcm.bfstm,6642,6648,1.246,1.216,0.8,0.976,confirmed
Y2_03_E_A,Y2_03_E_A.dspadpcm.bfstm,6643,6653,1.26,1.728,,0.729,no-speech-nomatch
Y2_03_E_B,Y2_03_E_B.dspadpcm.bfstm,6644,6654,1.222,1.707,0.775,0.716,confirmed
Y2_03_N_A,Y2_03_N_A.dspadpcm.bfstm,6645,6659,1.26,1.323,,0.952,no-speech-durmatch
Y2_03_N_B,Y2_03_N_B.dspadpcm.bfstm,6647,6660,1.222,1.557,0.748,0.785,confirmed
Y2_04_E_A,Y2_04_E_A.dspadpcm.bfstm,6648,6665,1.178,1.323,,0.89,no-speech-durmatch
Y2_04_E_B,Y2_04_E_B.dspadpcm.bfstm,6651,6666,1.394,1.429,,0.976,no-speech-durmatch
Y2_04_N_A,Y2_04_N_A.dspadpcm.bfstm,6654,6671,1.178,1.365,0.623,0.863,confirmed
Y2_04_N_B,Y2_04_N_B.dspadpcm.bfstm,6655,6672,1.394,1.707,0.782,0.817,confirmed
Y2_05_E_A,Y2_05_E_A.dspadpcm.bfstm,6657,6678,1.345,1.472,,0.914,no-speech-durmatch
Y2_05_E_B,Y2_05_E_B.dspadpcm.bfstm,6660,6679,1.488,1.472,,0.989,no-speech-durmatch
Y2_05_N_A,Y2_05_N_A.dspadpcm.bfstm,6667,6684,1.345,1.792,0.312,0.751,low-confidence
Y2_05_N_B,Y2_05_N_B.dspadpcm.bfstm,6672,6685,1.488,1.579,0.911,0.942,confirmed
Y2_06_E_A,Y2_06_E_A.dspadpcm.bfstm,6679,6690,1.357,1.493,0.767,0.909,confirmed
Y2_06_E_B,Y2_06_E_B.dspadpcm.bfstm,6690,6691,1.342,1.536,0.796,0.874,confirmed
Y2_06_N_A,Y2_06_N_A.dspadpcm.bfstm,6695,6696,1.357,1.664,0.818,0.816,confirmed
Y2_06_N_B,Y2_06_N_B.dspadpcm.bfstm,6696,6697,1.342,1.685,0.887,0.796,confirmed
Y2_07_E_A,Y2_07_E_A.dspadpcm.bfstm,6697,6702,1.337,1.493,,0.896,no-speech-durmatch
Y2_07_E_B,Y2_07_E_B.dspadpcm.bfstm,6707,6703,1.612,1.664,0.904,0.969,confirmed
Y2_07_N_A,Y2_07_N_A.dspadpcm.bfstm,6709,6709,1.337,1.664,0.557,0.803,confirmed
Y2_07_N_B,Y2_07_N_B.dspadpcm.bfstm,6710,6710,1.612,1.813,0.937,0.889,confirmed
Y2_08_E_A,Y2_08_E_A.dspadpcm.bfstm,6715,6715,1.395,1.408,,0.991,no-speech-durmatch
Y2_08_E_B,Y2_08_E_B.dspadpcm.bfstm,6716,6716,1.532,1.557,0.637,0.984,confirmed
Y2_08_N_A,Y2_08_N_A.dspadpcm.bfstm,6719,6721,1.395,1.429,,0.976,no-speech-durmatch
Y2_08_N_B,Y2_08_N_B.dspadpcm.bfstm,6720,6722,1.532,1.813,0.839,0.845,confirmed
Y2_09_E_A,Y2_09_E_A.dspadpcm.bfstm,6722,6727,1.492,1.557,,0.958,no-speech-durmatch
Y2_09_E_B,Y2_09_E_B.dspadpcm.bfstm,6723,6728,1.869,1.984,0.795,0.942,confirmed
Y2_09_N_A,Y2_09_N_A.dspadpcm.bfstm,6733,6733,1.492,1.557,0.512,0.958,confirmed
Y2_09_N_B,Y2_09_N_B.dspadpcm.bfstm,6736,6734,1.869,1.685,0.694,0.902,confirmed
Y2_10_E_A,Y2_10_E_A.dspadpcm.bfstm,6739,6739,1.4,1.493,0.824,0.938,confirmed
Y2_10_E_B,Y2_10_E_B.dspadpcm.bfstm,6742,6740,1.529,1.621,0.862,0.943,confirmed
Y2_10_N_A,Y2_10_N_A.dspadpcm.bfstm,6744,6745,1.4,1.984,0.91,0.706,confirmed
Y2_10_N_B,Y2_10_N_B.dspadpcm.bfstm,6745,6746,1.529,1.493,0.812,0.976,confirmed
